"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2883","@e2e Login test","","Thu Jun 19 17:09:28 UTC 2025","passed","Thu Jun 19 17:09:31 UTC 2025","","login.spec.ts","",""
"","1888","@smoke Dashboard test","","Thu Jun 19 17:08:23 UTC 2025","passed","Thu Jun 19 17:08:25 UTC 2025","","dashboard.spec.ts","",""
